ID,Fecha,Dominio,Título,URL,Idioma,Sentimiento,Telefonos,Emails
1,2022-12-07T00:00:00.000Z,eitb,"El alcalde de Vigo, las luces y la liga de Navidad",https://www.eitb.eus/es/radio/radio-euskadi/programas/boulevard/audios/detalle/9037884/el-alcalde-de-vigo-luces-y-liga-de-navidad/,es,positivo,[],[]
2,2022-12-07T00:00:00.000Z,elespanol,"Abel Caballero quiere cumplir 101 años en Vigo: ""Voy a ser alcalde 25 años más""",https://www.elespanol.com/treintayseis/articulos/actualidad/abel-caballero-quiere-cumplir-101-anos-en-vigo-voy-a-ser-alcalde-25-anos-mas,es,positivo,[],[]
3,2022-12-07T00:00:00.000Z,elespanol,París de Noia estrena la temporada de orquestas en Vigo con una actuación el próximo viernes,https://www.elespanol.com/treintayseis/articulos/vivir/paris-de-noia-estrena-la-temporada-de-orquestas-en-vigo-con-una-actuacion-el-proximo-viernes,es,positivo,[],[]
4,2022-12-07T00:00:00.000Z,elespanol,"Abel Caballero: ""Aspiro a tener un mejor resultado en estas elecciones""",https://www.elespanol.com/treintayseis/articulos/actualidad/abel-caballero-aspiro-a-tener-un-mejor-resultado-en-estas-elecciones,es,positivo,[],[]
5,2022-12-07T00:00:00.000Z,com/espana/2023-04-17/28-m-los-alcaldes-socialistas-se-pegan-al-terreno-y-a-las-siglas,Elecciones: 28-M: Los alcaldes socialistas se pegan al terreno y a las siglas   | España | EL PAÍS,https://elpais.com/espana/2023-04-17/28-m-los-alcaldes-socialistas-se-pegan-al-terreno-y-a-las-siglas.html,es,positivo,[],['ventacontenidos@prisamedia.com']
6,2023-01-16T00:00:00.000Z,com/espana/2023-01-16/caballero-calcula-tres-millones-de-visitantes-a-la-navidad-de-vigo-fue-la-mejor-que-se-hizo-nunca-en-ningun-sitio,Caballero calcula tres millones de visitantes a la Navidad de Vigo: “Fue la mejor que se hizo nunca en ningún sitio” | España | EL PAÍS,https://elpais.com/espana/2023-01-16/caballero-calcula-tres-millones-de-visitantes-a-la-navidad-de-vigo-fue-la-mejor-que-se-hizo-nunca-en-ningun-sitio.html,es,positivo,[],['ventacontenidos@prisamedia.com']
7,2023-01-16T00:00:00.000Z,elespanol,"La torre que robó las vistas a la ría de Vigo, un ""horror"" con fecha de caducidad",https://www.elespanol.com/treintayseis/articulos/cultura/la-torre-que-robo-las-vistas-a-la-ria-de-vigo-un-horror-con-fecha-de-caducidad,es,negativo,[],[]
8,2022-11-18T00:00:00.000Z,rtve,"Entrevista al alcalde de Vigo, Abel Caballero",https://www.rtve.es/play/videos/la-hora-de-la-1/entrevista-alcalde-vigo-abel-caballero/6739067/,es,positivo,[],[]
9,2022-11-18T00:00:00.000Z,elespanol,"Abel Caballero denuncia ""una alianza del BNG y la Xunta para parar la Navidad"" de Vigo",https://www.elespanol.com/treintayseis/articulos/actualidad/abel-caballero-denuncia-una-alianza-del-bng-y-la-xunta-para-parar-la-navidad-de-vigo,es,positivo,[],[]
10,2022-08-03T00:00:00.000Z,rtve,"Alcalde de Vigo: ""Habrá Navidad y cumpliremos requisitos""",https://www.rtve.es/play/audios/las-mananas-de-rne-con-inigo-alfonso/alcalde-vigo-navidad-luces-ahorro-energetico/6662966/,es,positivo,[],[]
